TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW,mMTC_CPU,URLLC_CPU,eMBB_CPU,mMTC_MEM,URLLC_MEM,eMBB_MEM
136,132.162518676972,344.237257949322,523.600223373706,13.2162518676972,34.4237257949322,52.3600223373706,13.2162518676972,34.4237257949322,52.3600223373706
137,139.230844482781,0,860.769155517219,13.9230844482781,0,86.0769155517219,13.9230844482781,0,86.0769155517219
138,160.701846770335,0,839.298153229665,16.0701846770335,0,83.9298153229665,16.0701846770335,0,83.9298153229665
139,138.934638298562,0,861.065361701438,13.8934638298562,0,86.1065361701438,13.8934638298562,0,86.1065361701438
140,166.778755890409,0,833.221244109591,16.6778755890409,0,83.3221244109591,16.6778755890409,0,83.3221244109591
141,170.293990620971,0,829.706009379029,17.0293990620971,0,82.9706009379029,17.0293990620971,0,82.9706009379029
142,103.337665125237,0,896.662334874763,10.3337665125237,0,89.6662334874763,10.3337665125237,0,89.6662334874763
143,125.859892015179,0,874.14010798482,12.5859892015179,0,87.414010798482,12.5859892015179,0,87.414010798482
144,172.572616261024,0,827.427383738976,17.2572616261024,0,82.7427383738976,17.2572616261024,0,82.7427383738976
145,150.82537153179,0,849.17462846821,15.082537153179,0,84.917462846821,15.082537153179,0,84.917462846821
146,136.703470296493,0,863.296529703507,13.6703470296493,0,86.3296529703507,13.6703470296493,0,86.3296529703507
147,121.103535393609,0,878.896464606391,12.1103535393609,0,87.8896464606391,12.1103535393609,0,87.8896464606391
148,187.206998847648,0,812.793001152353,18.7206998847648,0,81.2793001152353,18.7206998847648,0,81.2793001152353
149,203.686515842905,0,796.313484157095,20.3686515842905,0,79.6313484157095,20.3686515842905,0,79.6313484157095
150,145.508040691468,0,854.491959308532,14.5508040691468,0,85.4491959308532,14.5508040691468,0,85.4491959308532
151,130.527767958709,0,869.472232041291,13.0527767958709,0,86.9472232041291,13.0527767958709,0,86.9472232041291
152,174.313668067774,0,825.686331932226,17.4313668067774,0,82.5686331932226,17.4313668067774,0,82.5686331932226
153,111.427535177758,0,888.572464822242,11.1427535177758,0,88.8572464822242,11.1427535177758,0,88.8572464822242
154,144.457613256423,0,855.542386743577,14.4457613256423,0,85.5542386743577,14.4457613256423,0,85.5542386743577
155,137.020820646195,0,862.979179353805,13.7020820646195,0,86.2979179353805,13.7020820646195,0,86.2979179353805
156,175.005928727632,0,824.994071272368,17.5005928727632,0,82.4994071272368,17.5005928727632,0,82.4994071272368
157,180.578122771591,0,819.421877228409,18.0578122771591,0,81.9421877228409,18.0578122771591,0,81.9421877228409
158,128.815729954648,0,871.184270045352,12.8815729954648,0,87.1184270045352,12.8815729954648,0,87.1184270045352
159,112.215649810693,224.431299621386,663.353050567921,11.2215649810693,22.4431299621386,66.3353050567921,11.2215649810693,22.4431299621386,66.3353050567921
160,63.9532037563458,248.960686051489,687.086110192165,6.39532037563458,24.8960686051489,68.7086110192165,6.39532037563458,24.8960686051489,68.7086110192165
161,114.74245930736,221.479630756068,663.777909936572,11.474245930736,22.1479630756068,66.3777909936572,11.474245930736,22.1479630756068,66.3777909936572
162,94.958840500225,263.774556945069,641.266602554706,9.4958840500225,26.3774556945069,64.1266602554705,9.4958840500225,26.3774556945069,64.1266602554705
163,113.415623468236,0,886.584376531764,11.3415623468236,0,88.6584376531764,11.3415623468236,0,88.6584376531764
164,193.136288230961,0,806.863711769039,19.3136288230961,0,80.6863711769039,19.3136288230961,0,80.6863711769039
165,130.861222965847,374.408499041173,494.73027799298,13.0861222965847,37.4408499041173,49.473027799298,13.0861222965847,37.4408499041173,49.473027799298
166,178.309230653025,319.470704920003,502.220064426972,17.8309230653025,31.9470704920003,50.2220064426972,17.8309230653025,31.9470704920003,50.2220064426972
167,165.242298909547,312.523478372404,522.234222718049,16.5242298909547,31.2523478372404,52.2234222718049,16.5242298909547,31.2523478372404,52.2234222718049
168,138.905688899569,305.592515579053,555.501795521378,13.8905688899569,30.5592515579053,55.5501795521378,13.8905688899569,30.5592515579053,55.5501795521378
169,171.770161156929,293.44069197642,534.789146866651,17.1770161156929,29.344069197642,53.4789146866651,17.1770161156929,29.344069197642,53.4789146866651
170,137.239862016995,260.183905073887,602.576232909118,13.7239862016995,26.0183905073887,60.2576232909118,13.7239862016995,26.0183905073887,60.2576232909118
171,99.2773100885816,300.668424839704,600.054265071714,9.92773100885817,30.0668424839704,60.0054265071714,9.92773100885817,30.0668424839704,60.0054265071714
172,131.825505862581,273.296780446815,594.877713690604,13.1825505862581,27.3296780446815,59.4877713690604,13.1825505862581,27.3296780446815,59.4877713690604
173,97.320929880611,284.279558335469,618.39951178392,9.7320929880611,28.4279558335469,61.839951178392,9.7320929880611,28.4279558335469,61.839951178392
174,88.1891359008502,221.603469699572,690.207394399578,8.81891359008502,22.1603469699572,69.0207394399578,8.81891359008502,22.1603469699572,69.0207394399578
175,113.057472477423,0,886.942527522577,11.3057472477423,0,88.6942527522577,11.3057472477423,0,88.6942527522577
176,76.8729467607403,0,923.12705323926,7.68729467607403,0,92.312705323926,7.68729467607403,0,92.312705323926
177,95.5276941038522,0,904.472305896148,9.55276941038522,0,90.4472305896148,9.55276941038522,0,90.4472305896148
178,123.586314149203,0,876.413685850797,12.3586314149203,0,87.6413685850797,12.3586314149203,0,87.6413685850797
179,97.5568188948168,0,902.443181105183,9.75568188948168,0,90.2443181105183,9.75568188948168,0,90.2443181105183
180,93.1201862949023,0,906.879813705098,9.31201862949023,0,90.6879813705098,9.31201862949023,0,90.6879813705098
181,168.692788264968,0,831.307211735032,16.8692788264968,0,83.1307211735032,16.8692788264968,0,83.1307211735032
182,145.889662216713,0,854.110337783287,14.5889662216713,0,85.4110337783287,14.5889662216713,0,85.4110337783287
183,171.59375065355,0,828.40624934645,17.159375065355,0,82.840624934645,17.159375065355,0,82.840624934645
184,115.211276340069,0,884.788723659931,11.5211276340069,0,88.4788723659931,11.5211276340069,0,88.4788723659931
185,114.01804859839,0,885.98195140161,11.401804859839,0,88.598195140161,11.401804859839,0,88.598195140161
186,106.908434911741,0,893.091565088259,10.6908434911741,0,89.3091565088259,10.6908434911741,0,89.3091565088259
187,125.227194302309,0,874.772805697691,12.5227194302309,0,87.4772805697691,12.5227194302309,0,87.4772805697691
188,55.5302487065396,207.724263680018,736.745487613442,5.55302487065396,20.7724263680018,73.6745487613442,5.55302487065396,20.7724263680018,73.6745487613442
189,117.375087311119,186.181172976258,696.443739712623,11.7375087311119,18.6181172976258,69.6443739712623,11.7375087311119,18.6181172976258,69.6443739712623
190,131.02515777481,0,868.97484222519,13.102515777481,0,86.897484222519,13.102515777481,0,86.897484222519
191,134.737941962753,0,865.262058037247,13.4737941962753,0,86.5262058037247,13.4737941962753,0,86.5262058037247
192,145.831872501223,0,854.168127498777,14.5831872501223,0,85.4168127498777,14.5831872501223,0,85.4168127498777
193,193.317822328203,0,806.682177671797,19.3317822328203,0,80.6682177671797,19.3317822328203,0,80.6682177671797
194,149.791311702176,0,850.208688297824,14.9791311702176,0,85.0208688297824,14.9791311702176,0,85.0208688297824
195,136.917916318375,0,863.082083681625,13.6917916318375,0,86.3082083681625,13.6917916318375,0,86.3082083681625
