TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
402,151.618758803908,118.907628028937,729.473613167155
403,144.090974375956,148.068553651978,707.840471972066
404,136.874601618316,175.833330813275,687.292067568409
405,133.458338763735,202.266991173898,664.274670062367
406,127.5462312929,228.010551765213,644.443216941887
407,122.473435720793,254.219056162027,623.30750811718
408,118.438335212513,279.585295193931,601.976369593556
409,119.91089485523,291.810946807518,588.278158337253
410,121.485449101135,301.716333700758,576.798217198107
411,123.844833815425,314.200636118526,561.954530066049
412,126.359950011627,326.086723375859,547.553326612514
413,129.32515994545,336.433219589411,534.241620465139
414,131.384239954549,346.836221112608,521.779538932844
415,139.068277856692,329.494410056977,531.43731208633
416,150.775653066469,313.019689554128,536.204657379403
417,151.280352724585,325.610173889866,523.109473385549
418,153.437557505137,336.862584197066,509.699858297797
419,156.732264177421,347.719907239385,495.547828583195
420,158.20885988403,359.459251614562,482.331888501409
421,160.20260797842,366.723506093205,473.073885928375
422,162.055281443223,376.84031866261,461.104399894167
423,162.530206860286,384.994835606275,452.47495753344
424,157.869152331074,411.908733360467,430.22211430846
425,160.259284125133,420.531808049983,419.208907824884
426,160.499677012651,429.241506349988,410.258816637362
427,162.300930171888,437.080968016161,400.61810181195
428,169.935694307966,415.226919615353,414.837386076681
429,174.95281771795,394.465573634586,430.581608647465
430,179.239086694537,374.742294952856,446.018618352606
431,184.37330861284,356.005180205214,459.621511181946
432,183.154654203281,361.030335689069,455.81501010765
433,184.085630733228,342.978818904616,472.935550362156
434,183.179595058826,325.829877959385,490.990526981789
435,186.553416080278,309.538384061416,503.908199858307
436,188.437411886349,294.061464858345,517.501123255306
437,191.467934565533,279.358391615428,529.17367381904
438,196.371725030711,265.390472034656,538.237802934633
439,198.553814685777,278.321860906836,523.124324407386
440,205.154517941571,264.405767861494,530.439714196934
441,206.448391788929,251.18547946842,542.366128742652
442,208.431192384529,238.626205494999,552.942602120473
443,213.899757768022,226.694895220249,559.405347011729
444,224.318262602866,215.360150459236,560.321586937897
445,227.192422313759,204.592142936275,568.215434749967
446,226.738831018937,194.362535789461,578.898633191602
447,224.86408747734,184.644408999988,590.491503522672
448,226.212514829498,175.412188549988,598.375296620514
449,227.727631685828,166.641579122489,605.630789191683
450,230.746343600916,158.309500166365,610.944156232719
451,233.755494669557,150.394025158046,615.850480172397
452,236.683938652452,142.874323900144,620.441737447404
453,236.113618925106,135.730607705137,628.155773369757
454,235.883229656643,128.94407731988,635.172693023477
455,236.781808669621,122.496873453886,640.721317876493
456,242.652197893516,116.372029781192,640.975772325293
457,245.034224584095,110.553428292132,644.412347123773
458,252.649885804514,105.025756877525,642.324357317961
459,256.960528068128,99.9774519886397,643.062019943232
460,259.342075583189,99.5003668073323,641.157557609479
461,261.717705315088,99.455515708458,638.826778976454
462,263.908019046396,99.4513013057038,636.6406796479
463,265.82368803511,99.4509053205958,634.725406644294
464,267.074257648433,99.4508681140136,633.474874237553
465,262.528649284477,122.094533745244,615.376816970279
